[2026-07-20 12:52:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:52:28] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:52:47] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:52:47] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:53:48] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:53:48] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:55:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:55:07] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:55:25] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:55:25] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:56:21] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:56:21] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:57:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:57:42] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 12:58:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 12:58:03] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 13:43:12] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 13:43:12] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 14:03:19] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 14:03:19] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 15:53:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 15:53:13] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
[2026-07-20 15:56:49] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ Segments by CR Blocks Received section not found.
[2026-07-20 15:56:49] WARNING  | awr_seg_cr_blk_rec_parser | ⚠️ No records to insert into awr_seg_cr_blk_rec
