[2026-07-20 12:52:30] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:52:30] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:52:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:52:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:53:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:53:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:55:08] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:55:08] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:55:28] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:55:28] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:56:22] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:56:22] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:57:44] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:57:44] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 12:58:07] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 12:58:07] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 13:43:16] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 13:43:16] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 14:03:21] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 14:03:21] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 15:53:15] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 15:53:15] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
[2026-07-20 15:56:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ Segments by Current Blocks Received section not found.
[2026-07-20 15:56:50] WARNING  | awr_seg_cur_blk_rec_parser | ⚠️ No records to insert into awr_seg_cur_blk_rec
