[2026-07-20 12:52:37] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:52:37] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:53:03] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:53:03] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:53:56] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:53:56] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:55:14] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:55:14] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:55:41] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:55:41] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:56:29] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:56:29] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:57:50] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:57:50] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 12:58:20] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 12:58:20] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 13:43:29] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 13:43:29] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 14:03:28] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 14:03:28] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 15:53:22] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 15:53:22] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
[2026-07-20 15:56:56] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ Segments by Global Cache Buffer Busy section not found.
[2026-07-20 15:56:56] WARNING  | awr_seg_gbl_cache_buff_busy_parser | ⚠️ No records to insert into awr_seg_gbl_cache_buff_busy
