[2026-07-20 12:52:47] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:52:47] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:52:47] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:53:22] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:53:22] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:53:23] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:54:06] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:54:06] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:54:06] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:55:24] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:55:24] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:55:24] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:56:01] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:56:01] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:56:01] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:56:39] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:56:39] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:56:39] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:58:00] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:58:00] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:58:00] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 12:58:40] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 12:58:40] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 12:58:41] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 13:43:49] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 13:43:49] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 13:43:49] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 14:03:38] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 14:03:38] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 14:03:38] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 15:53:32] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 15:53:32] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 15:53:32] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
[2026-07-20 15:57:05] INFO     | awr_seg_phy_writes_parser | Found 5 rows in Segments by Physical Writes section
[2026-07-20 15:57:05] INFO     | awr_seg_phy_writes_parser | ✅ Parsed 5 Segments by Physical Writes records
[2026-07-20 15:57:05] INFO     | awr_seg_phy_writes_parser | ✅ Inserted 5 rows into awr_seg_phy_writes
