[2026-07-20 12:52:50] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 12:52:50] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 12:52:50] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 12:53:29] INFO     | awr_seg_table_scan_parser | Found 2 rows in Segments by Table Scans section
[2026-07-20 12:53:29] INFO     | awr_seg_table_scan_parser | ✅ Parsed 2 Segments by Table Scans records
[2026-07-20 12:53:29] INFO     | awr_seg_table_scan_parser | ✅ Inserted 2 rows into awr_seg_table_scan
[2026-07-20 12:54:09] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 12:54:09] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 12:54:09] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 12:55:27] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 12:55:27] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 12:55:27] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 12:56:08] INFO     | awr_seg_table_scan_parser | Found 1 rows in Segments by Table Scans section
[2026-07-20 12:56:08] INFO     | awr_seg_table_scan_parser | ✅ Parsed 1 Segments by Table Scans records
[2026-07-20 12:56:08] INFO     | awr_seg_table_scan_parser | ✅ Inserted 1 rows into awr_seg_table_scan
[2026-07-20 12:56:42] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 12:56:42] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 12:56:42] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 12:58:03] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 12:58:03] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 12:58:03] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 12:58:47] INFO     | awr_seg_table_scan_parser | Found 1 rows in Segments by Table Scans section
[2026-07-20 12:58:47] INFO     | awr_seg_table_scan_parser | ✅ Parsed 1 Segments by Table Scans records
[2026-07-20 12:58:47] INFO     | awr_seg_table_scan_parser | ✅ Inserted 1 rows into awr_seg_table_scan
[2026-07-20 13:43:55] INFO     | awr_seg_table_scan_parser | Found 1 rows in Segments by Table Scans section
[2026-07-20 13:43:55] INFO     | awr_seg_table_scan_parser | ✅ Parsed 1 Segments by Table Scans records
[2026-07-20 13:43:55] INFO     | awr_seg_table_scan_parser | ✅ Inserted 1 rows into awr_seg_table_scan
[2026-07-20 14:03:42] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 14:03:42] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 14:03:42] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 15:53:35] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 15:53:35] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 15:53:35] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
[2026-07-20 15:57:08] INFO     | awr_seg_table_scan_parser | Found 5 rows in Segments by Table Scans section
[2026-07-20 15:57:08] INFO     | awr_seg_table_scan_parser | ✅ Parsed 5 Segments by Table Scans records
[2026-07-20 15:57:08] INFO     | awr_seg_table_scan_parser | ✅ Inserted 5 rows into awr_seg_table_scan
