[2026-07-20 12:52:52] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:52:52] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:52:52] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:53:32] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:53:32] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:53:32] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:54:11] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:54:11] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:54:11] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:55:28] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:55:28] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:55:28] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:56:12] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:56:12] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:56:12] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:56:44] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:56:44] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:56:44] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:58:05] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:58:05] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:58:05] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 12:58:51] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 12:58:51] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 12:58:51] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 13:43:58] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 13:43:58] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 13:43:58] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 14:03:43] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 14:03:43] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 14:03:43] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 15:53:37] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 15:53:37] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 15:53:37] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
[2026-07-20 15:57:09] INFO     | awr_seg_unopt_reads_parser | Found 5 rows in Segments by UnOptimized Reads section
[2026-07-20 15:57:09] INFO     | awr_seg_unopt_reads_parser | ✅ Parsed 5 Segments by UnOptimized Reads records
[2026-07-20 15:57:10] INFO     | awr_seg_unopt_reads_parser | ✅ Inserted 5 rows into awr_seg_unopt_reads
