[2026-08-11 12:44:30] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-11 12:44:44] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-11 12:44:57] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:44:57] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:10] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:10] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:13] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:13] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:17] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:17] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:29] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:29] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:42] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:42] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:45:54] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:45:54] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:07] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:07] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:10] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:10] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:23] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:23] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:28] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:28] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:43] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:43] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:46:47] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:46:47] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:47:03] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:47:03] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:47:07] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:47:07] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:47:12] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:47:12] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:47:16] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:47:16] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-11 12:47:31] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-11 12:47:31] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 13:57:03] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:39:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:41:01] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:43:42] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:44:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:44:19] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:44:19] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:44:32] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:44:36] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:44:36] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:44:44] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:44:44] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:44:54] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:44:55] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:44:55] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:45:12] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:45:15] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:45:15] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:45:32] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:45:32] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:45:38] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:45:39] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:45:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:46:04] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:04] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:20] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:46:29] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:29] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:39] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:39] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:45] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:02] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:02] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:10] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:10] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:29] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:30] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:39] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:39] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:48] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:48] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:54] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:48:17] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:17] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:24] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:24] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:34] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:34] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:41] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:48:43] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:43] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:49:05] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:49:05] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:51:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:51:38] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:53:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:55:23] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:56:13] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:58:24] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:58:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:00:36] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:02:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:02:05] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:04:05] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:05:19] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:07:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:07:51] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:10:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:11:18] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:12:27] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:14:46] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:16:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:20:46] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:22:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:25:00] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:25:20] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:26:33] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:27:09] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:27:53] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:29:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:29:14] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:30:40] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:31:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:32:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:33:31] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:33:42] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:34:58] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:35:43] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:36:16] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:37:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:38:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:39:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:40:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:40:24] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:41:44] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:42:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:42:59] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:45:00] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:47:15] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:49:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:51:38] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:54:06] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:56:27] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
