[2026-07-20 12:53:08] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 8 IOStat by Filetype summary records.
[2026-07-20 12:53:08] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 8 rows into awr_iostat_filetype
[2026-07-20 12:54:03] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-20 12:54:04] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-20 12:54:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-20 12:54:28] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-20 12:55:43] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-20 12:55:43] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-20 12:56:43] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-20 12:56:43] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-20 12:57:01] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-20 12:57:01] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-20 12:58:20] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-20 12:58:20] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-20 13:13:00] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-20 13:13:00] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-20 13:44:29] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 6 IOStat by Filetype summary records.
[2026-07-20 13:44:29] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 6 rows into awr_iostat_filetype
[2026-07-20 14:04:01] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 9 IOStat by Filetype summary records.
[2026-07-20 14:04:01] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 9 rows into awr_iostat_filetype
[2026-07-20 15:53:53] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-20 15:53:53] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
[2026-07-20 15:57:25] INFO     | io_stat_by_filetype_summary_parser | ✅ Parsed 7 IOStat by Filetype summary records.
[2026-07-20 15:57:25] INFO     | io_stat_by_filetype_summary_parser | ✅ Inserted 7 rows into awr_iostat_filetype
