[2026-07-20 12:53:12] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-20 12:53:12] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-20 12:54:10] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 12:54:10] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-20 12:54:31] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-20 12:54:31] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-20 12:55:46] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-20 12:55:46] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-20 12:56:50] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 12:56:50] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-20 12:57:04] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-20 12:57:04] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-20 12:58:23] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-20 12:58:23] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-20 13:15:59] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 13:16:28] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-20 13:44:35] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 13:44:35] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-20 14:04:04] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-20 14:04:04] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-20 15:53:56] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 15:53:56] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-20 15:57:28] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-20 15:57:28] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
